Id,Label,timeset,degree,modularity_class,vote_average0
959,959,,3,1103,5.0
960,960,,0,206,4.0
961,961,,0,207,6.0
962,962,,4,1166,6.0
963,963,,0,208,6.0
964,964,,0,209,6.0
965,965,,1,505,4.0
966,966,,3,949,5.0
967,967,,0,210,6.0
968,968,,0,211,6.0
969,969,,1,139,6.0
970,970,,0,212,6.0
971,971,,0,213,6.0
972,972,,1,214,6.0
973,973,,3,993,6.0
974,974,,0,215,6.0
975,975,,2,727,6.0
976,976,,0,216,6.0
977,977,,1,25,8.0
978,978,,6,505,7.0
979,979,,1,1162,7.0
980,980,,0,217,7.0
981,981,,1,139,5.0
982,982,,2,1246,6.0
983,983,,2,727,7.0
984,984,,2,1079,6.0
985,985,,1,993,6.0
986,986,,4,499,5.0
987,987,,0,218,6.0
988,988,,2,505,6.0
989,989,,1,1162,6.0
990,990,,1,98,6.0
991,991,,1,709,7.0
992,992,,1,219,6.0
993,993,,1,1103,5.0
994,994,,0,220,6.0
995,995,,1,221,6.0
996,996,,3,139,6.0
997,997,,15,505,5.0
998,998,,3,505,5.0
999,999,,4,64,5.0
1000,1000,,2,499,5.0
1001,1001,,0,222,4.0
1002,1002,,3,1103,6.0
1003,1003,,0,223,6.0
1004,1004,,9,25,7.0
1005,1005,,3,64,7.0
1006,1006,,3,1036,8.0
1007,1007,,5,928,7.0
1008,1008,,1,499,7.0
1009,1009,,1,64,7.0
1010,1010,,0,224,7.0
1011,1011,,0,225,4.0
1012,1012,,1,1012,7.0
1013,1013,,5,98,6.0
1014,1014,,5,1103,6.0
1015,1015,,1,505,7.0
1016,1016,,1,928,6.0
1017,1017,,0,226,6.0
1018,1018,,2,864,7.0
1019,1019,,1,1166,7.0
1020,1020,,2,542,6.0
1021,1021,,4,1166,7.0
1022,1022,,7,505,6.0
1023,1023,,0,227,7.0
1024,1024,,5,1195,6.0
1025,1025,,2,1041,7.0
1026,1026,,4,64,7.0
1027,1027,,4,1103,7.0
1028,1028,,0,228,8.0
1029,1029,,5,1166,5.0
1030,1030,,1,613,6.0
1031,1031,,4,505,6.0
1032,1032,,6,909,6.0
1033,1033,,0,229,7.0
1034,1034,,4,345,7.0
1035,1035,,4,1162,4.0
1036,1036,,0,230,6.0
